tipo_proceso;subtipo_proceso;;etapa_procesal;;juzgado
;;;PRESENTA ACUERDO DE REORGANIZACION;;(200014303000) JUZGADO CIVIL MUNICIPAL DE EJECUCION DE VALLEDUPAR
;;;PRESENTACION DE ACREENCIAS;;(170011265000) DIRECCION SECCIONAL DE LA RAMA JUDICIAL CENTRO DE SERVICIOS JUDICIALES PENALES ADOLESCENTES
;;;PRESENTA ACUERDO;;(170013331000) JUZGADO ADMINISTRATIVO DE MANIZALES
;;;OBJECIONES AL PROYECTO DE GRADUACION Y CALIFICACION;;(250002205000) DESPACHO DE LA SALA LABORAL DEL TRIBUNAL SUPERIOR DE CUNDINAMARCA SECRETARIA
;;;AUDIENCIA RESOLUCION DE OBJECIONES;;(180011102000) DESPACHO DE LA SALA JURISDICCIONAL DISCIPLINARIA DEL CONSEJO SECCIONAL DE FLORENCIA
;;;AUDIENCIA DE GRADUACION Y CALIFICACION DE CREDITOS;;(250001102000) DESPACHO DE LA SALA JURISDICCIONAL DISCIPLINARIA DEL CONSEJO SECCIONAL DE CUNDINAMARCA SECRETARIA
;;;AUDIENCIA DE CONFIRMACION DE ACUERDO;;(190013172000) JUZGADO 000 CENTRO DE SERVICIOS JUDICIALES DE CIRCUITO PENAL DE POPAYAN
;;;APRUEBA ACUERDO DE REORGANIZACION;;(170012212000) DESPACHO DE LA SALA CIVIL LABORAL DEL TRIBUNAL SUPERIOR DE MANIZALES
;;;ACUERDO DE REORGANIZACION EN FIRME;;(190012204000) DESPACHO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE POPAYAN
;;;APRUEBA ACUERDO DE ADJUDICACION;;(190012214000) DESPACHO DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE POPAYAN
;;;ACUERDO DE ADJUDICACION EN FIRME;;(150011215000) DIRECCION SECCIONAL DE LA RAMA JUDICIAL SECRETARIA GENERAL
;;;TRASLADO DE LIQUIDACION;;(170017004000) CENTRO DE SERVICIOS ADMINISTRATIVOS 000 PENAL DE MANIZALES
;;;NOTIFICACION AL DEUDOR PARA ENTREGA DIRECTA;;(150012203000) DESPACHO DE LA SALA CIVIL DEL TRIBUNAL SUPERIOR DE TUNJA
;;;SOLICITUD DE APREHENSION;;(190012210000) DESPACHO DE LA SALA DE FAMILIA DEL TRIBUNAL SUPERIOR DE POPAYAN
;;;ORDEN DE APREHENSION;;(150012204000) DESPACHO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE TUNJA
;;;CAPTURA DE VEHICULO;;(200012214000) DESPACHO DE LA SALA CIVIL FAMILIA LABORAL DEL TRIBUNAL SUPERIOR DE VALLEDUPAR
;;;ENTREGA DEL BIEN;;(200012204000) DESPACHO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE VALLEDUPAR
;;;AVALUO DEL BIEN;;(230012204000) DESPACHO DE LA SALA PENAL DEL TRIBUNAL SUPERIOR DE MONTERIA
;;;TRANSFERENCIA DE DOMINIO;;(180012331000) DESPACHO DEL TRIBUNAL ADMINISTRATIVO DE FLORENCIA
;;;TERMINACION DE APREHENSION;;(150013118000) JUZGADO PENAL DEL CIRCUITO PARA ADOLESCENTES CON FUNCION DE CONOCIMIENTO DE TUNJA
